video_id,title,hashtags,tags,published_at,duration
hlUD86hN5qc,大きさか感度かについてガチで回答する女好きVtuber #shorts #vtuber #切り抜き #にじさんじ #白雪巴  #お悩み相談,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #お悩み相談","雑談, お悩み相談",2024-01-10T13:00:38Z,PT1M
BZPA5ZGI79Q,にじフェス2023の白雪巴による場内アナウンス #shorts #vtuber #切り抜き #白雪巴  #にじフェス2023,"#shorts, #vtuber, #切り抜き, #白雪巴, #にじフェス2023","イベント, にじフェス2022",2024-01-10T12:49:22Z,PT1M1S
FON5SqnWcPs,推しが最優先になっているあなたへ #shorts #vtuber #切り抜き #にじさんじ #白雪巴 #お悩み相談,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #お悩み相談","雑談, お悩み相談",2024-01-09T13:00:20Z,PT1M
gDI08jZOrK0,【#にじさんじ麻雀杯2024】予選U卓！かぜっぴき白雪の新年運試し麻雀【白雪 巴/にじさんじ】,#にじさんじ麻雀杯2024,"ゲーム実況, 単発ゲーム, 大会",2024-01-06T13:44:00Z,PT42M14S
RvZo32Heiqk,だんだん壊れていくお姉さんVtuber #shorts #vtuber #切り抜き #にじさんじ #白雪巴 #ゲーム #実況,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #ゲーム, #実況","ゲーム実況, 単発ゲーム",2024-01-03T09:00:18Z,PT1M
i3mw5BLa5HQ,算数が壊滅的すぎてホラゲどころではなくなるリスナーたち #shorts #vtuber #切り抜き #にじさんじ #白雪巴  #誘拐事件 #実況,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #誘拐事件, #実況","ゲーム実況, ホラー, 誘拐事件",2024-01-02T09:00:32Z,PT41S
7o739CAStnk,お掃除ロボットあるあるｗｗｗｗ #shorts #vtuber #切り抜き #にじさんじ #白雪巴  #実況 #minecraft,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #実況, #minecraft","ゲーム実況, Minecraft",2023-12-30T09:00:05Z,PT33S
tVrtt2ImCCI,「口吻」を読めず人生が変わってしまった白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴  #実況 #漢字でgo,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #実況, #漢字でgo","雑談, フリートーク",2023-12-26T09:00:37Z,PT41S
bciXRq-vhLw,モテる人とモテない人のちがい#shorts #vtuber #切り抜き #にじさんじ #お悩み相談,"#shorts, #vtuber, #切り抜き, #にじさんじ, #お悩み相談","雑談, お悩み相談",2023-12-25T09:00:24Z,PT57S
yJAASKiWVyI,【お悩み相談 #仕事編01】指導が苦手/給与の違い/転職etc...周りにも言えない悩み事、白雪が聞きますっ！【白雪 巴/にじさんじ】,#仕事編01,"雑談, お悩み相談",2023-12-20T15:16:24Z,PT2H5M36S
-OByzidjIB0,迷える全人類へ贈りたい言葉集 #shorts #vtuber #切り抜き #にじさんじ #お悩み相談,"#shorts, #vtuber, #切り抜き, #にじさんじ, #お悩み相談","雑談, お悩み相談",2023-12-19T09:00:00Z,PT1M
a7zE5DCDHkM,誰でも一度は経験したことのある超常現象 #shorts #vtuber #切り抜き  #にじさんじ #白雪巴  #実況,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #実況","雑談, フリートーク",2023-12-17T03:00:00Z,PT40S
